=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 82: [82,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 23.10-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 83: [83,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 23.10-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 84: [84,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 23.09-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 85: [85,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Suporte","PCI","NEO-23001-AS-16-PCI 23.10-MO-004-R06","rvt","Sim","NEO-23001-PE-16-PCI-MO-004-R06","NEO-23001-AS-PCI-002-SUPO1-R00","","","","","",""]
ROW 86: [86,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 23.10-000-R18","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 87: [87,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 23.10-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 88: [88,45953,"014. SM 43 - 23.10.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 23.10-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 89: [89,45967,"015. SM 45 - 06.11.2025","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 06.11-R03","rvt","Sim"," ","","","","","","",""]
ROW 90: [90,45967,"015. SM 45 - 06.11.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 06.11-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 91: [91,45967,"015. SM 45 - 06.11.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 06.11-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 92: [92,45967,"015. SM 45 - 06.11.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 06.11-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
ROW 93: [93,45967,"015. SM 45 - 06.11.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 06.11-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 94: [94,45967,"015. SM 45 - 06.11.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 06.11-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 95: [95,45995,"016. SM 47 - 04.12.2025","OCLE","?","Instalações Elétricas","NEO-23001-AS-BAR-001-MOD 04.12-R03","rvt","Sim"," ","","","","","","",""]
